Username,Time,Result
DEV,Sat Feb 21 2026 08:04:44 GMT+0530 (India Standard Time),"{""status"":""absent"",""reason"":""Face mismatch""}"
DEEPAK,Sat Feb 21 2026 08:06:16 GMT+0530 (India Standard Time),"{""status"":""absent"",""reason"":""Face mismatch""}"
DEEPAK,Sat Feb 21 2026 08:06:41 GMT+0530 (India Standard Time),"{""status"":""absent"",""reason"":""Face mismatch""}"
DEEPAK,Sat Feb 21 2026 08:07:20 GMT+0530 (India Standard Time),"{""status"":""absent"",""reason"":""Face mismatch""}"
DEEPAK,Sat Feb 21 2026 08:07:51 GMT+0530 (India Standard Time),"{""status"":""absent"",""reason"":""Face mismatch""}"
DEEPAK,Sat Feb 21 2026 08:08:15 GMT+0530 (India Standard Time),"{""status"":""present""}"
DEEPAK,Sat Feb 21 2026 08:17:08 GMT+0530 (India Standard Time),"{""status"":""absent"",""reason"":""Error processing image""}"
DEEPAK,Sat Feb 21 2026 08:17:40 GMT+0530 (India Standard Time),"{""status"":""absent"",""reason"":""Error processing image""}"
DEEPAK,Sat Feb 21 2026 08:18:04 GMT+0530 (India Standard Time),"{""status"":""absent"",""reason"":""Error processing image""}"
DEEPAK,Sat Feb 21 2026 08:23:48 GMT+0530 (India Standard Time),"{""status"":""absent"",""reason"":""Multiple faces detected""}"
DEV,Sat Feb 21 2026 08:23:50 GMT+0530 (India Standard Time),"{""status"":""absent"",""reason"":""Multiple faces detected""}"
DEEPAK,Sat Feb 21 2026 08:27:08 GMT+0530 (India Standard Time),"{""status"":""absent"",""reason"":""Multiple faces detected""}"
DEEPAK,Sat Feb 21 2026 08:27:40 GMT+0530 (India Standard Time),"{""status"":""absent"",""reason"":""Error processing image""}"
DEEPAK,Sat Feb 21 2026 08:28:04 GMT+0530 (India Standard Time),"{""status"":""absent"",""reason"":""Error processing image""}"
DEV,Sat Feb 21 2026 08:31:05 GMT+0530 (India Standard Time),"{""status"":""present""}"
DEV,Sat Feb 21 2026 08:31:45 GMT+0530 (India Standard Time),"{""status"":""absent"",""reason"":""Error processing image""}"
DEV,Sat Feb 21 2026 08:40:55 GMT+0530 (India Standard Time),"{""status"":""absent"",""reason"":""Error processing image""}"
DEV,Sat Feb 21 2026 08:41:35 GMT+0530 (India Standard Time),"{""status"":""absent"",""reason"":""Error processing image""}"
DEV,Sat Feb 21 2026 08:50:54 GMT+0530 (India Standard Time),"{""status"":""absent"",""reason"":""Error processing image""}"
DEV,Sat Feb 21 2026 08:51:35 GMT+0530 (India Standard Time),"{""status"":""absent"",""reason"":""Error processing image""}"
DEV,Sat Feb 21 2026 09:00:54 GMT+0530 (India Standard Time),"{""status"":""absent"",""reason"":""Error processing image""}"
DEV,Sat Feb 21 2026 09:01:35 GMT+0530 (India Standard Time),"{""status"":""absent"",""reason"":""Error processing image""}"
DEV,Sat Feb 21 2026 09:10:57 GMT+0530 (India Standard Time),"{""status"":""present""}"
DEV,Sat Feb 21 2026 09:11:37 GMT+0530 (India Standard Time),"{""status"":""absent"",""reason"":""Face mismatch""}"
DEV,Sat Feb 21 2026 09:20:55 GMT+0530 (India Standard Time),"{""status"":""absent"",""reason"":""Error processing image""}"
DEV,Sat Feb 21 2026 09:21:35 GMT+0530 (India Standard Time),"{""status"":""absent"",""reason"":""Error processing image""}"
DEV,Sat Feb 21 2026 09:30:56 GMT+0530 (India Standard Time),"{""status"":""absent"",""reason"":""Multiple faces detected""}"
DEV,Sat Feb 21 2026 09:31:44 GMT+0530 (India Standard Time),"{""status"":""absent"",""reason"":""Face mismatch""}"
DEV,Sat Feb 21 2026 09:41:00 GMT+0530 (India Standard Time),"{""status"":""absent"",""reason"":""Face mismatch""}"
DEV,Sat Feb 21 2026 09:41:40 GMT+0530 (India Standard Time),"{""status"":""absent"",""reason"":""Face mismatch""}"
DEV,Sat Feb 21 2026 09:49:56 GMT+0530 (India Standard Time),"{""status"":""absent"",""reason"":""Multiple faces detected""}"
DEV,Sat Feb 21 2026 09:50:57 GMT+0530 (India Standard Time),"{""status"":""absent"",""reason"":""Face mismatch""}"
DEV,Sat Feb 21 2026 09:51:37 GMT+0530 (India Standard Time),"{""status"":""absent"",""reason"":""Face mismatch""}"
DEV,Sat Feb 21 2026 09:54:56 GMT+0530 (India Standard Time),"{""status"":""absent"",""reason"":""Multiple faces detected""}"
DEEPAK,Sat Feb 21 2026 09:55:09 GMT+0530 (India Standard Time),"{""status"":""absent"",""reason"":""Multiple faces detected""}"
DEV,Sat Feb 21 2026 09:55:30 GMT+0530 (India Standard Time),"{""status"":""absent"",""reason"":""Face mismatch""}"
DEEPAK,Sat Feb 21 2026 09:59:45 GMT+0530 (India Standard Time),"{""status"":""absent"",""reason"":""Face mismatch""}"
DEEPAK,Sat Feb 21 2026 10:00:54 GMT+0530 (India Standard Time),"{""status"":""absent"",""reason"":""Error processing image""}"
DEEPAK,Sat Feb 21 2026 10:01:35 GMT+0530 (India Standard Time),"{""status"":""absent"",""reason"":""Error processing image""}"
